Industry,Gender,Average_Salary
"Stay-at-home parent",Woman,0
Homemaker,Woman,0
"I'm currently a student and don't have a job",Man,0
Student,"Other or prefer not to answer",0
"Museum (University Affiliated)",Woman,40
"Environmental regulation",Woman,58
"Industry unknown",Unknown,485.75
"Outsourced Customer Service/Tech Support Call Centre",Woman,2097.6
"Graduate Student",Man,2350
"Obligatory Military service",Man,2600.15
"Child Care Resource and Referral Agency",Woman,3200
accessibility,Non-binary,4000
"Daycare for children under 5 years old",Woman,7380
student,Man,9360
"Undergrad student",Man,10000
"Freelance Journalism",Man,12000
Charity,Woman,12841.2
Retired,Woman,13000
Culture,Woman,13110
PhD,Man,14022
"Childcare (0-5 so does not come under Primary education)",Woman,14582.88
Theatre,Woman,14760
"Food and Beverage",Man,14760
"Food and Drink",Woman,14971.806
AmeriCorps,Woman,15400
"Information services",Woman,15867
Work-Study,Non-binary,16000
"Food manufacturers",Woman,16236
Probiotics,Man,16236
"Construction / Stone industry",Woman,16974
"Library/Information management",Woman,17464.77
"Specialist policy consulting/research",Woman,18450
"Wholesale and retail trade",Woman,18450
"University administration",Woman,18610.146
"Environment and sustainability",Woman,19926
"Arts, Culture and Heritage",Woman,19948.14
"Hospitality & Events","Other or prefer not to answer",20475.95
Tourism,Woman,20800
"Professional training",Woman,20976
"Food Service",Unknown,21000
"Food Production/Processing",Woman,21402
"Food Service",Non-binary,21840
Restaurant,Man,22100
Academia,Woman,22463.6285
"Museum Library",Man,22787.226
"Graduate assistant and also events",Woman,24000
"FMCG development",Man,24002.712
"Library science / part-time work/study",Non-binary,24252
"Wine Importing/Distribution",Woman,24354
"Pet care/grooming","Other or prefer not to answer",25000
"TIC (Testing, Inspection & Certification)",Man,25092
"CALL CENTER",Woman,25480
"Commercial Fisherman",Man,26000
Conservation,Man,26568
MedComms,Woman,26568
"Food demos",Woman,27000
"Not for profit education consultancy",Woman,27084.6
"Research Institute",Woman,27132
Biologist,Woman,27306
"Parks and recreation, land management but with customer service included",Woman,27460
"Pharmaceutical research & development",Man,27675
"Brain research",Woman,28000
Childcare,Non-binary,28100
"Concrete Construction",Man,28600
Aviation,Man,28700
"Landed Estate",Woman,28782
"Public Libraries",Non-binary,29000
Biology,Man,29000
"Administration (food service)",Woman,29120
Janitorial,Non-binary,29120
"Fast Food",Woman,29120
"Food Service",Woman,29224
"Science and research",Woman,29520
"Academic Science",Non-binary,29757.636
Retail,Unknown,29936
"Cultural Resources Management/Major Univ.",Woman,30000
Library,"Other or prefer not to answer",30000
"Delivery and installation for commercial machinery",Man,30000
"Medical Interpreter -(Spanish)",Woman,30000
Warehousing,Man,30195.5
"Medical Sciences",Woman,30258
"Analytical lab",Woman,30368
"Third sector/non profit - medical membership in UK",Woman,30410.028
"biological research",Woman,30418.316
Journalism,Woman,30910
Veterinary,Man,30996
"Data Entry",Woman,31000
"Adult education",Woman,31086.432
"religious educator",Woman,31200
"Real estate",Non-binary,31200
"auto repair",Non-binary,31200
"Fast food","Other or prefer not to answer",31200
"Government contract",Woman,31217.4
"Hospitality & Events",Non-binary,31449
Digital,Woman,31630.68
"Social Research",Woman,31941.976000000002
"Religious institute",Woman,32000
"Academia - STEM",Woman,32000
"Law Enforcement & Security",Non-binary,32162.5
"Animal Care",Woman,32244.5
"Direct support  professional  in a group  home",Man,32280
Sales,"Other or prefer not to answer",32300
Heritage,Woman,32315.051
"Human Resources",Woman,32474.333333333332
"Medical supply Wholesale & Warehousing",Woman,33000
"Interior landscaping",Non-binary,33000
Caregiver,Woman,33280
"Human services",Woman,33280
"Customer Service",Woman,33336
"Entrepreneur high net worth",Woman,33948
"Veterinary medicine",Non-binary,34000
Translation,Man,34488
"Professional Public Librarian",Woman,34500
Retail,Non-binary,34546.799999999996
"Funeral Service",Woman,34640
"Online education startup (non-technical role)",Woman,34785.2
Administration,Woman,35000
"My company sells & services various types of printers, mostly Kyocera.",Woman,35000
"awards and engraving",Woman,35000
"Information services (library)",Woman,35172
"Food Service --- Baking",Woman,35350
"Restaurant/Food Service",Woman,35360
"Tailoring Service",Woman,35360
"Pet care industry",Woman,35360
Administrative,Woman,35360
"Beauty Manufacturing & Education",Woman,35360
"museums & archives (not sure where this would fall)",Woman,35360
Archaeologist,Man,35424
"Soft Drinks Manufacturing",Man,35424
Sciences,Woman,35500
"Academic Scientific Research",Woman,35600
Actuarial,Woman,35834
"University tech transfer (higher ed/marketing/writing)",Woman,36000
"Security and manufacturing company",Woman,36000
"Retail mid level management",Woman,36000
"Office Admin",Woman,36400
"Museum education",Woman,36663
"Veterinary Care",Woman,36700
"Academic research (Psychology)",Woman,36883
"Waste and recycling",Non-binary,37000
"Outdoor industry/repair and maintenance",Woman,37000
"Zoos and Aquariums",Man,37419
"Academic/nonprofit research",Woman,37440
Horticulture,Woman,37440
Food,Man,37440
Wholesale/Distribution,Woman,37500
"Auction House",Woman,37500
"College Athletics",Woman,37500
"I work at a property tax management company. Not sure where this fits in. Consulting maybe?",Woman,37500
Sales,Non-binary,37542.857142857145
Translation/transcription,Man,38000
"Wholesale textile manufacture and sales",Woman,38000
Restaurant,Woman,38000
Research/Academia,Woman,38019
"Fast casual restaurant",Non-binary,38188
"Library Page (Public county library)",Woman,38480
"Real estate: title & escrow",Non-binary,38563
"Quality Assurance",Man,38700
Warehouse,Woman,38720
"Science/Research (Academia)",Woman,38784
"Manufacturing and distributing",Woman,38800
"art appraisal",Woman,39000
"Child care",Woman,39350
"Library (university)",Woman,39964.524
Biology/Research,Non-binary,40000
"Commercial furniture",Woman,40000
Library/Archive,Man,40000
Chaplain,Woman,40000
"Customer service/call center",Non-binary,40000
"STEM medical research",Woman,40000
Printing,Man,40000
"Beverage Distribution",Woman,40000
"Interior Design (commercial)",Non-binary,40000
"Early Education",Unknown,40000
"Political Research",Man,40000
"School District Pre-K-12",Woman,40200
"Environmental Consultanting",Woman,40200
"Automotive Repair",Woman,40240
"Forklift operator warehouse",Man,40560
"Professional regulation",Woman,40590
Libraries/Museums/Archives,Woman,40830
"Office Administration",Woman,41000
"Small business/service company",Woman,41000
Libraries/Archives,Non-binary,41120
"Mental health",Woman,41359.666666666664
"Library (its a non-profit and its a govt job - how would I list that? Not all libraries are govt jobs)",Woman,41394
"Performing Arts",Woman,41500
"Business Process Outsourcing",Woman,41600
"Customer Service",Man,41600
"Pet Care",Woman,41600
"Virtual Assisting",Woman,41600
"Sailing Instructor",Woman,41600
Cleaning,Woman,41600
"Public Librarian",Woman,41800
"Games development",Woman,41952
"Museums: Nonprofit",Woman,42000
"Political Campaigning",Woman,42000
"Libraries (public)",Woman,42000
"Academic Press Production",Woman,42000
"Educational products",Woman,42000
"Tabletop Games Publishing",Man,42000
Ministry,Man,42000
"Educ tech",Woman,42000
"E commerce",Woman,42000
"Administration in MLM",Woman,42000
"Commercial Landscaping",Woman,42840
"Nonprofit - LORT D Theatre",Woman,43000
"University research",Woman,43000
"Translation and Localization",Woman,43000
"Online learning",Woman,43000
Childcare,Woman,43067.471999999994
"Academic science",Woman,43500
"IT Security",Woman,43680
"Health and fitness",Woman,43680
"Museums & archives",Woman,43680
"Utilities & Telecommunications",Non-binary,43800
"Per Sitter",Woman,43800
"Fundraising in Higher Education; nonclinical, non-academic","Other or prefer not to answer",44000
Housekeeper/cook,Woman,44000
"Veterinary Diagnostics",Woman,44000
Concrete,Woman,44000
"clinical trials research coordination",Woman,44000
coaching,Woman,44000
"Transport or Logistics",Non-binary,44300.34057142857
"Special Collections Library",Woman,45000
"State DOT",Man,45000
"Academic research (social science)",Woman,45000
"Veterinary services",Woman,45000
"Low-Voltage Equipment",Man,45000
"oceanography research",Non-binary,45000
"Operational Training",Woman,45000
Church,Woman,45000
"Oil and gas exploration",Man,45313.5
Librarian,Non-binary,45700
Ministry,Woman,45875
"Libraries (Public)",Non-binary,46000
Environment,Man,46000
"Environmental health and safety",Man,46000
Libraries,"Other or prefer not to answer",46150
"Library and Information Science",Woman,46183
"Food Manufacture",Man,46494
Publishing,Non-binary,46666.666666666664
Library/archives,Woman,46700
"Non-profit health care (I couldn’t select both)",Woman,46700
"Career & Technical Training",Woman,46800
facilities,Woman,46891
"Public/Environmental Health",Non-binary,47000
e-learning,Woman,47000
"Energy Sector: Oil & Gas",Man,47000
"Food service",Man,47000
"Real Estate Association",Woman,47000
"Real Estate/ Mortgage",Woman,47008
"Real Estate Title Company",Man,47445
Translation,"Other or prefer not to answer",47463.6
"Real estate services",Woman,47500
"Bioscience Company",Woman,47500
"Warehouse- Food and Beverage",Woman,47500
Journalism,Man,47500
Translation,Non-binary,47600
"Landscape Contracting",Woman,47840
"Chemical Manufacturing",Woman,47902
"Scientific publishing",Woman,47970
"Academia--cell and molecular biology",Woman,48000
"Laboratory research",Woman,48000
"Environmental health and safety compliance",Woman,48000
"Shared office space",Woman,48000
Landscaping,Woman,48000
Rideshare,Woman,48000
"Academic publishing",Woman,48273.833333333336
"Pet care industry (dog training/walking)",Woman,48500
"education writing",Woman,48500
"Environmental/Cultural Resource Management",Woman,48500
Architecture,"Other or prefer not to answer",48880
Fitness,Woman,48916.666666666664
"Editor in educational publishing",Woman,49000
Biotechnology,Non-binary,49000
"Automotive technician",Man,49000
"Library at a University",Woman,49000
"Veterinary m&a",Woman,49000
Academia,Man,49293.6
"Religious (church)",Woman,49500
"Hybrid Nonprofit Higher Education (we are part of a university but our entire budget comes from grants)",Woman,49500
Mortgage,Woman,49666.666666666664
"Child and Youth Care",Man,49873.92
"Business Services",Woman,50000
"Music: freelance, performing and education",Woman,50000
"Life science capability development",Woman,50000
"Research and Development, Food and Beverage",Woman,50000
"Wholesale Trade",Woman,50000
"digital marketing within a book publishing company (please reclassify as you see fit)",Woman,50000
"Grocery delivery",Woman,50000
Clergy,Man,50000
Church,Man,50000
"Auto Repair",Man,50000
"Wholesale Industrial & Welding Supplies & Equipment",Woman,50000
"Consulting / Professional Services",Non-binary,50000
"Real Estate customer care",Woman,50000
"Wealth advisor Research",Woman,50000
"Clinical trials",Man,50184
Communications/publications,Woman,50211.2
"Public Health",Man,50500
Library,Man,50596
"Heritage/Public History",Woman,51000
"Administrative Work",Woman,51000
"Service and repair",Woman,51000
"Libraries / Archives / Information",Woman,51000
"Content Review - Copyright/DMCA",Man,51000
"Payroll Software",Woman,51001
"Media & Digital",unknown,51498
"Libraries & Archives",Woman,51500
Museum,Man,51575
"Construction admin",Woman,51680
Restaurant,Non-binary,51858
"Workforce development",Woman,52000
"apparel design/product development",Woman,52000
"Instructional Design, Aviation Industry",Woman,52000
"Publishing (academic)",Woman,52000
"Summer camp",Woman,52000
"Early Education (corporate office)",Woman,52000
"Entertainment data",Non-binary,52000
"Aerospace and defence/Government Contracting",Woman,52000
"Environmental survey",Woman,52000
"Museum (<20 employees)",Woman,52000
"environmental health and safety",Woman,52000
"Social Work",Non-binary,52263.73422222222
"Behavioural Health",Woman,52416
"Education Publishing",Woman,52500
"Archives/Library Science",Woman,52500
"Food/Beverage Manufacturing- Quality/Laboratory",Woman,52500
E-commerce,Woman,52525
"Grocery Distribution",Non-binary,52532
"Contract research organisation",Woman,52545.754
"Beverage Production",Man,52600
"Grocery Distribution",Woman,52600
"Research Administration",Woman,53000
"Libraries and Archives (Academic)",Woman,53000
"High end outdoor furniture manufacturer",Woman,53000
Architecture,Non-binary,53000
Pet,Woman,53000
Libraries,unknown,53000
Religious,Man,53000
"Information Services/Libraries",Woman,53000
"Public Policy",Woman,53080
"Specialist clothing",Woman,53136
"Science research",Woman,53261
"Natural resources",Woman,53498.5
"Architectural/Land Planning/Civil Engineering",Woman,53500
"Behavioural Health",Man,53560
Religion/church,Woman,54000
"University libraries",Non-binary,54000
Ecology,Woman,54000
"Religious institution",Woman,54080
"Book publishing",Woman,54183.333333333336
"student paid intern in computing",Woman,54400
"Paid student intern in Tech",Woman,54400
"cultural (museums/galleries)",Woman,54400
"Research science",Woman,54443.333333333336
"Medical Research",Non-binary,54500
"Public Library",Woman,54777.781224489794
"Municipal Government (Library)",Woman,54953
Edtech,Woman,54963
"Academic Medicine",Man,55000
Archaeology,Woman,55000
"Real Estate Corp. Office/not a Realtor",Woman,55000
"Environmental sciences",Woman,55000
"Church ministry",Woman,55000
"Consumer Goods Production",Woman,55000
"Industrial Cleaning & Non Hazardous Transport",Woman,55000
"Science (Research, Biology)",Woman,55000
"Children's Book Wholesale",Woman,55000
"Data Analytics",Man,55000
"Food & Beverages",Woman,55000
"Virtual reality",Woman,55000
"Research at a State University",Woman,55000
"Government Contractor (R&D)",Woman,55000
"Retail call center",Woman,55000
"Social sciences research",Woman,55000
"International Development",Man,55000
Military,Man,55000
Librarian,Woman,55146.25
"Library and Information Services",Woman,55200
Nonprofits,Non-binary,55315.03634883721
"Administration, IT",Woman,55324.2
"Utilities & Telecommunications",Unknown,55350
"Scientific R&D",Woman,55500
"Law Library",Woman,55760
chemistry,Non-binary,55883
"auto repair",Woman,56000
"Analytical Chemistry",Woman,56000
"Oil and Gas Safety Training",Woman,56000
"music therapy",Woman,56000
"Protective coatings",Man,56000
"Private investigator at large firm",Woman,56000
"Educational Research",Woman,56000
"Writing and journalism",Woman,56000
"Social Work",Unknown,56000
"Legal Services",Woman,56076.5
"Textbook Copyeditor",Man,56160
"manufacturing security systems",Woman,56163.24
Retail,"Other or prefer not to answer",56206.63636363636
"Cultural Resource Management",Woman,56388
"Data Breach",Man,56410
Funeral,Woman,56500
"Political Consulting",Woman,56500
"Professional Association",Woman,56500
Libraries,Non-binary,56513.8
"Science Research",Non-binary,56763
"Property Management",Woman,56784
"Research & Development",Man,56810
"Clinical research and development",Woman,56810
aviation,Woman,56835.6
Veterinary,Woman,56967.46153846154
"aerospace data",Woman,57000
Toxicology,Woman,57000
Brewing,Man,57000
"Food Distribution",Woman,57152.8
"Education (Higher Education)",Non-binary,57153.52309859155
"Data/Institutional Research in Higher Education",Woman,57211
"Global Mobility",Woman,57500
"Publishing, content as a service",Woman,57500
Museums,Woman,57508.8
Publishing,Woman,57644.99603278688
Student,Woman,57800
"Environmental Health + Pest Control",Woman,57900
"Marketing at a Non Profit",Woman,58000
Zoo,Woman,58000
Technology,Man,58000
Architecture,Man,58000
Religion,Woman,58000
"Music Licensing",Man,58000
Investing,Woman,58000
Communications,Woman,58055.51666666666
Manufacturing/Wholesale,Woman,58212
"Landscaping/Tree Work",Woman,58240
Immigration,Woman,58480
"FinTech/Payment Processing",Woman,58500
Fashion/e-commerce,Woman,58500
"Association Management",Woman,58500
"Public library",Man,58675
"Commercial real estate tenancy",Woman,58734.32
"Public safety",Woman,58955
"Government Relations/Lobbying",Woman,59000
"Oil & Gas - Non Destructive Testing",Woman,59000
"Science academia",Woman,59000
"Science (Laboratory)",Woman,59000
"Higher education fundraising",Woman,59000
Libraries,Man,59091.333333333336
Library,Woman,59343.333333333336
"Recruitment or HR",Non-binary,59687.20371428571
"Government and Public Administration",Non-binary,59713.6047826087
"Academic research",Woman,59805
Science,"Other or prefer not to answer",59840
"Staffing & workforce solutions",Woman,59900
"Intergovernmental organization",Woman,60000
"Staffing Industry",Man,60000
"IT MSP",Woman,60000
Gyms,Woman,60000
"CBD Manufacturing",Woman,60000
Consultant,Man,60000
"Aerospace and defence Manufacturing",Woman,60000
"R&D in Manufacturing",Woman,60000
"Beer sales",Man,60000
"Pre-primary education",Woman,60000
"Construction Management",Woman,60000
Warehouse,Man,60000
"Rural electrification",Woman,60000
Psychologist,Man,60000
"Env. Consulting",Man,60000
"Govtech Software as a Service",Woman,60171
Environmental,Woman,60176.240000000005
"Market research",Woman,60363.416666666664
"Leisure, Sport & Tourism",Man,60472
"Cultural Heritage",Woman,60500
Manufacturing,Unknown,60800
"Education (Primary/Secondary)",Non-binary,60922.675599999995
"Public health",Woman,60978.75
"Tabletop Gaming",Man,60996
"Health Research",Woman,61000
"Arts Administration",Woman,61000
"Environmental Restoration",Woman,61050
"public libraries",unknown,61157
"Subsidized Seniors Housing",Woman,61200
Construction,Man,61248.333333333336
"Public Library",Non-binary,61350.333333333336
Printing,Woman,61360
"Winery regulatory compliance",Woman,61500
"Supply Chain Distribution",Woman,61800
"Private company, federal contractor",Woman,62000
"Public Library (Non-profit, but also government?)",Woman,62000
"Learning and Development",Man,62000
Energy/oil,Woman,62000
"Real estate valuation",Woman,62000
"Higher education/Libraries",Woman,62000
"Laundry and Rental",Woman,62000
Archives/Libraries,Woman,62271
"Household Services",Non-binary,62400
"Construction, HVAC",Woman,62400
"Religious (synagogue)",Woman,62400
"Staffing agency",Woman,62400
"Education (Early Childhood Education)",Woman,62400
"Title/Real Estate",Non-binary,62500
"Environmental Services",Woman,62500
"Print Distributor",Woman,62500
"Architecture / Engineering",Woman,62860
"Renewable fuels",Woman,62928
"Municipal library",Woman,63000
"librarian--Contractor for NASA",Woman,63000
"Real Estate Investment Support",Woman,63000
"Restaurant Group",Woman,63000
"Healthcare Information Technology",Woman,63000
parking,Woman,63000
"Food manufacturing",Woman,63048
"Hospitality & Events",Man,63076.43281818182
"Early Childhood Education",Woman,63166.666666666664
Automotive,Man,63492
"Biomedical Research",Woman,63640.454545454544
HRO,Woman,64000
"market research",Non-binary,64000
Politics,Non-binary,64000
"Community Management",Woman,64000
"Pharmaceutical research (chemist)",Woman,64000
"Education (Higher Education)",unknown,64040.18722222223
library,Non-binary,64445
"Customer service/publishing-adjacent",Woman,64500
"Social Work",Man,64568.3
"Education (Higher Education)","Other or prefer not to answer",64644.48486666667
"Disability services",Woman,64680
"Law Enforcement & Security",Woman,64928.679354838714
"Government Relations (Lobbying)",Woman,65000
"Museum - Nonprofit",Woman,65000
"Mining/Mineral Exploration",Woman,65000
"Public Library (might be considered Government, but that always seems an odd designation...)",Woman,65000
Publishing,unknown,65000
"Real Estate/Development",Woman,65000
"Production and Manufacturing",Woman,65000
Forensics,Woman,65000
Music,Man,65000
Cannabis,Man,65000
"Repair facility for heavy duty trucks","Other or prefer not to answer",65000
"Public health (not medical)",Non-binary,65000
"trade association/membership",Woman,65100
FMCG,Woman,65550
"International defence",Woman,65550
"labour union",Woman,65557
Libraries,Woman,65716.76744186046
Research,Woman,65793.24393939393
"Public health",Non-binary,65949
"Apparel manufacture",Woman,66000
"For profit education",Woman,66000
"municipal (public) libraries",Woman,66000
"Corporate service management",Woman,66000
"Research - academic",Woman,66000
"Oil & Gas",Man,66022.5
"Biotech/Food Safety",Man,66089
"Art & Design",Non-binary,66365.35294117648
Nonprofits,unknown,66552.69230769231
Archives,Woman,66612.2312
Labor,Woman,66617
"Property or Construction",Unknown,66733.33333333333
Gambling,Woman,66820
"Educational Technology - hybrid between book publishing and technology really",Woman,67000
"Public health in higher education",Woman,67000
"Manufacturing, Chemical",Woman,67000
Beverage,Woman,67000
"Industrial Supply",Man,67000
"Retail real estate",Woman,67000
Association,Woman,67000
"Trade Associations",Woman,67000
"Information services (libraries)",Woman,67231
"Environmental compliance",Woman,67333.33333333333
"Public Libraries",Woman,67460.69565217392
"Marketing, Advertising & PR",Non-binary,67466.87705263158
Security,Woman,67500
"Administrative Support",Woman,67558
"Marketing, Advertising & PR",unknown,67571.42857142857
"Leisure, Sport & Tourism",Woman,67576.9859047619
Maritime,Man,67580
"Hospitality & Events",Woman,67640.58200000001
"Software as a Service SaaS",Woman,68000
"Learning & Development",Woman,68000
"I work for Indeed.com",Woman,68000
"Luxury Fashion",Woman,68000
"Diagnostic Medical Devices",Man,68000
"Food Industry",Man,68000
"Library Tech for a school system",Woman,68000
CPG,Woman,68000
"Real Estate",Woman,68134.78260869565
"Art & Design","Other or prefer not to answer",68250
Gaming,Woman,68500
"Academia / Research",Woman,68500
"Print publishing",Man,68500
"Training and Professional Services",Woman,68700
"Commercial Real Estate Data and Analytics/Research",Woman,68700
