Industry,Gender,Highest_Level_of_Education_Completed,Average_Salary
"Education (Higher Education)",Woman,"Master's degree",932294.3024747772
"Computing or Tech",Non-binary,"College degree",112637.30454545455
"Accounting, Banking & Finance",Woman,"College degree",10124721.208351783
Nonprofits,Woman,"College degree",74244.09960706861
"Education (Higher Education)",Man,"Master's degree",68495.03358333332
Publishing,Woman,"College degree",57583.37526315789
"Education (Primary/Secondary)",Man,"Master's degree",88826.56285714287
"Computing or Tech",Woman,"College degree",706191.9304558522
"Education (Higher Education)",Woman,PhD,96717.19179611652
"Accounting, Banking & Finance",Man,"College degree",178388.69832402235
Law,Woman,"Unknown level of education",168000
"Health care",Woman,"College degree",110828.02984637678
"Utilities & Telecommunications",Man,"College degree",93081.41224489796
"Business or Consulting",Woman,"Some college",651225.6388888889
"Art & Design",Woman,"College degree",77484.4162722513
"Business or Consulting",Woman,"Master's degree",147326.59314403287
"Health care",Woman,"Master's degree",100009.09873320536
Nonprofits,Woman,PhD,93024.49859375
Nonprofits,Woman,"Master's degree",75503.21712814897
"Government and Public Administration",Woman,PhD,113793.96951219512
"Public Library",Woman,"Unknown level of education",40450
Nonprofits,Man,"College degree",79252.64532173914
Law,Woman,"College degree",67479.78815584416
"Government and Public Administration",Woman,"Master's degree",94365.96387700536
"Engineering or Manufacturing",Woman,"College degree",103729.69449693253
"Media & Digital",Woman,"Master's degree",83336.88973333333
"Media & Digital",Woman,"College degree",1334861.1354907162
"Marketing, Advertising & PR",Woman,"College degree",2947633.109070797
"Government and Public Administration",Man,"College degree",79373.75330232558
"Computing or Tech",Man,"Master's degree",231066.25804629628
"Computing or Tech",Woman,PhD,273860.1847826087
Retail,Woman,"College degree",61293.325077669906
"Education (Primary/Secondary)",Woman,"Master's degree",1454706.7796144576
"Computing or Tech",Woman,"Master's degree",2032871.7712987803
"Engineering or Manufacturing",Woman,"Master's degree",115707.63111475411
"Business or Consulting",Woman,"College degree",94057.95380952381
Law,Woman,"Some college",62798.14608695651
"Education (Higher Education)",Woman,"College degree",1724747.7534952196
"Property or Construction",Man,"College degree",87131.94375
"Education (Primary/Secondary)",Woman,"College degree",167286.00244081634
Biotechnology,Woman,"College degree",108727.27272727272
"Education (Higher Education)",Non-binary,"Master's degree",55170.79268292683
"Government and Public Administration",Man,"Master's degree",96746.08565454546
"Aerospace contracting",Woman,"Master's degree",122000
Insurance,Woman,"Master's degree",92424.23913978494
"Engineering or Manufacturing",Woman,"Some college",64117.584734693875
Nonprofits,Man,"High School",47126
Sales,Woman,"Some college",78409.26666666666
Energy,Woman,"College degree",97583.33333333333
"Accounting, Banking & Finance",Woman,"Master's degree",100323.9914611111
"Government and Public Administration",Man,"Some college",55870.57980000001
"Computing or Tech",Man,"College degree",1247150.415648528
"Environmental regulation",Woman,"Master's degree",58
"Computing or Tech",Man,"Some college",209009.30103422052
"Education (Primary/Secondary)",Woman,"Some college",50015.32010526316
"Hospitality & Events",Woman,"College degree",68734.3707086614
"Government and Public Administration",Woman,"College degree",85271.84976811595
"Education (Higher Education)",Man,PhD,3273205.412698413
Sales,Woman,"Master's degree",272836
"Computing or Tech",Man,"High School",131728.7369811321
"Transport or Logistics",Woman,"Master's degree",84417.91466666666
"Marketing, Advertising & PR",Woman,"Master's degree",96041.26670873786
"Medical Devices",Woman,"College degree",75577.5
"Academic research (Psychology)",Woman,"College degree",36883
"Social Work",Woman,"Master's degree",64209.00840236686
"public library",Woman,"Master's degree",57015.823157894745
Surveying,Man,"Master's degree",130900
Nonprofits,Woman,"Some college",66916.27483783783
"Hospitality & Events",Non-binary,"College degree",26271.6
"Accounting, Banking & Finance",Woman,"Some college",67030.4668115942
Law,Non-binary,"Master's degree",89466.66666666667
"Recruitment or HR",Woman,"College degree",3005870.452167884
PhD,Man,"Master's degree",14022
Biopharma,Man,"College degree",114000
Insurance,Woman,"High School",56511.41176470588
"STEM research",Woman,PhD,135000
Libraries,Woman,"Master's degree",66636.26829268293
"Engineering or Manufacturing",Man,"College degree",101435.7193360996
"Government and Public Administration",unknown,"Master's degree",95985
"Computing or Tech",Woman,"Some college",155096.41531707317
Architecture,Woman,"Master's degree",101460
"Property or Construction",Woman,"Some college",62883.65714285715
"Academic Medicine",Man,"College degree",55000
Law,Woman,PhD,148788.9411764706
"Education (Higher Education)",Woman,"Unknown level of education",84933251.78571428
"Education (Higher Education)",Non-binary,PhD,59827.555555555555
Retail,Woman,"High School",172605.75
Law,Woman,"Master's degree",509963.5463653846
"Commercial Real Estate",Woman,"Some college",55000
"Pet care industry (dog training/walking)",Woman,"College degree",48500
Politics,Woman,"College degree",69142.85714285714
"University administration",Woman,"College degree",18610.146
"Government and Public Administration",Non-binary,"College degree",50510.94823529412
"Animal Health Product Manufacturing",Woman,"College degree",75000
"Education (Primary/Secondary)",Non-binary,"College degree",52887.91111111111
"Property or Construction",Woman,"College degree",71747.2905952381
"Health care",Non-binary,"College degree",79522.93838095239
Sales,Woman,"Unknown level of education",41856.46000000001
"Educational Technology - hybrid between book publishing and technology really",Woman,"College degree",67000
"Utilities & Telecommunications",Woman,"Some college",73512.4212121212
Pharmaceuticals,Woman,PhD,115038.88888888889
"Education (Primary/Secondary)",Woman,PhD,81925.43703703703
"Government and Public Administration",Woman,"Some college",69949.8684556962
"Agriculture or Forestry",Woman,"Some college",45691.572
"Engineering or Manufacturing",Man,"Some college",85683
"Computing or Tech",Non-binary,"High School",191748
Philanthropy,Woman,"Master's degree",86700
"Marketing, Advertising & PR",Man,"College degree",89790.24242424243
Insurance,Woman,"Some college",72251.24711864407
"Real Estate",Woman,"Some college",90000
"Transport or Logistics",Woman,"High School",494080.71428571426
"Transport or Logistics",Woman,"Some college",146623.37142857144
Consulting,Woman,"Master's degree",177500
"Environmental Consulting",Woman,PhD,107893.33333333333
Sales,Woman,"College degree",76511.12184615385
"Archaeology / Cultural Resource Management",Woman,"Master's degree",79000
Museum,Man,"Master's degree",52000
Biotech,Woman,"College degree",90083.11111111111
"Recruitment or HR",Man,"College degree",83233.33333333333
"Agriculture or Forestry",Non-binary,"Master's degree",41000
"Recruitment or HR",Woman,"Master's degree",81326.64421052631
"Computing or Tech","Other or prefer not to answer","Master's degree",131010.57142857143
Nonprofits,Man,"Master's degree",79592.89743283583
"Transport or Logistics",Woman,"College degree",74941.67386440678
"Agriculture or Forestry",Woman,"College degree",69263.35964285715
"Property or Construction",Woman,"High School",53481.73724137931
"Industry unknown",Woman,"College degree",76645.75862068965
"Health care",Woman,PhD,125570.49696202534
"Engineering or Manufacturing",Man,"Master's degree",8022056.129999999
"Government Relations (Lobbying)",Woman,"College degree",65000
"Health care",Woman,"Some college",57115.39586046512
Law,Woman,"High School",56720.6375
"Software as a Service SaaS",Woman,"College degree",68000
"Public health in higher education",Woman,"Master's degree",67000
"Business Services",Woman,"Master's degree",50000
"Engineering or Manufacturing",Woman,PhD,227883.45587301586
"Law Enforcement & Security",Woman,"College degree",61368.29416666667
"Manufacturing and distributing",Woman,"College degree",38800
"Leisure, Sport & Tourism",Woman,"Some college",45261.181333333334
"Business or Consulting",Man,"Master's degree",149803.5224137931
"Education (Primary/Secondary)",Man,"College degree",52463.68
"Utilities & Telecommunications",Woman,"College degree",5027042.984615385
"Food manufacturing",Woman,"Master's degree",58240
"Education (Higher Education)",Non-binary,"College degree",62403.1025
"Marketing, Advertising & PR",Woman,"Some college",69263.24680851064
"Computing or Tech",Non-binary,"Some college",116267.22727272728
"Art & Design",Woman,"Master's degree",119808.9
"Research and development",Woman,"College degree",58000
Pharmaceuticals,Woman,"College degree",85056.89166666666
"Consumer packaged goods",Man,"College degree",122400
"Education (Higher Education)","Other or prefer not to answer",PhD,73289.14285714286
Entertainment,Man,"College degree",98154872.54054055
Entertainment,Woman,"College degree",98986.12542105264
"Agriculture or Forestry",Woman,"Master's degree",80765.66620689657
"Hospitality & Events",unknown,"College degree",75000
"B2B Services",Woman,"Some college",115000
"Oil and Gas",Man,"Some college",120000
Nonprofits,Non-binary,"Master's degree",61613.87096774193
Entertainment,Man,"Master's degree",542423.8333333334
"Heritage/Public History",Woman,"Master's degree",51000
"Accounting, Banking & Finance",Man,"Some college",105146.00571428573
"Health care",Man,"College degree",83311.6493802817
"Education (Higher Education)",unknown,"Master's degree",60576.5
"Government and Public Administration",Man,"High School",136511.11111111112
Insurance,Woman,"College degree",82054.61790393014
Manufacturing,Woman,"College degree",83304.96296296296
"Media & Digital",Non-binary,"Master's degree",69700
"Leisure, Sport & Tourism",Woman,"College degree",63092.96014035088
"Veterinary medicine",Woman,PhD,108000
Insurance,"Other or prefer not to answer","College degree",129166.66666666667
Nonprofits,"Other or prefer not to answer","College degree",58434.77777777778
"Food Production/Processing",Woman,"Some college",21402
Retail,Woman,"Master's degree",18311258.493191488
"Engineering or Manufacturing","Other or prefer not to answer","College degree",91068.30769230769
"Government and Public Administration",Woman,"High School",77224.96208333333
"Health Insurance",Woman,"College degree",72000
"Government contractor",Woman,"College degree",83221
"Industry unknown",Woman,"Master's degree",105542.96666666667
"Public health",Woman,"Master's degree",63000
"Media & Digital",unknown,"College degree",48886.666666666664
Nonprofits,Non-binary,"Some college",63457.02857142857
"Social Work",Woman,"College degree",50826.046753623195
"Renewable energy",Woman,"Master's degree",89083.33333333333
"Media & Digital",Man,"College degree",95184.09803921569
Nonprofits,unknown,"Master's degree",88500
"Utilities & Telecommunications",Woman,"Unknown level of education",87360
"Marketing, Advertising & PR",Man,"Master's degree",85149
"Accounting, Banking & Finance",Woman,"High School",58490.020500000006
"Utilities & Telecommunications",Woman,"Master's degree",103691.33099999999
publishing,Woman,"Some college",83500
Aerospace,Woman,"College degree",90666.66666666667
"Education (Higher Education)",Man,"College degree",69154.76891489362
"Accounting, Banking & Finance",Non-binary,"College degree",51034.28571428572
"Hospitality & Events",Woman,"Master's degree",96986.92857142857
"Government and Public Administration",Man,PhD,116800.625
Manufacturing,Man,"Master's degree",71625
Law,Man,PhD,90000
"Health care",Man,"Some college",86371.31684615384
"Health care",Woman,"Unknown level of education",126801.23
"Accounting, Banking & Finance",Woman,PhD,113410.2
"Health care",Man,"Master's degree",88780.74364912281
"Public Library (technically City Govt.?)",Woman,"Master's degree",76302
Space,Woman,"College degree",102000
"Education (Higher Education)",Woman,"Some college",157477.30421052632
Librarian,Woman,"Master's degree",55146.25
Nonprofits,Non-binary,"College degree",48629.83922727273
Sales,Man,"College degree",124560.48780487805
"Business or Consulting",Woman,PhD,120882.06933333335
"Utilities & Telecommunications",Man,"Master's degree",139198.52800000002
"Business or Consulting",Man,"College degree",114455.30684931508
