Industry,Years_of_Professional_Experience_Overall,Number_of_Employees
"Education (Higher Education)","5-7 years",414
"Computing or Tech","8 - 10 years",852
"Accounting, Banking & Finance","2 - 4 years",196
Nonprofits,"8 - 10 years",521
"Accounting, Banking & Finance","8 - 10 years",350
"Education (Higher Education)","8 - 10 years",472
Publishing,"2 - 4 years",11
"Education (Primary/Secondary)","5-7 years",114
"Computing or Tech","21 - 30 years",703
"Accounting, Banking & Finance","21 - 30 years",256
Nonprofits,"5-7 years",453
"Education (Higher Education)","11 - 20 years",925
"Accounting, Banking & Finance","11 - 20 years",581
Law,"2 - 4 years",124
"Health care","1 year or less",53
"Utilities & Telecommunications","11 - 20 years",136
"Business or Consulting","8 - 10 years",159
"Art & Design","21 - 30 years",25
"Business or Consulting","11 - 20 years",257
"Health care","5-7 years",287
Nonprofits,"11 - 20 years",883
"Government and Public Administration","8 - 10 years",341
"Public Library","5-7 years",12
Law,"11 - 20 years",348
"Government and Public Administration","11 - 20 years",704
"Engineering or Manufacturing","5-7 years",344
Nonprofits,"2 - 4 years",229
"Media & Digital","11 - 20 years",256
"Media & Digital","2 - 4 years",80
"Accounting, Banking & Finance","5-7 years",303
"Engineering or Manufacturing","21 - 30 years",189
"Marketing, Advertising & PR","11 - 20 years",354
"Government and Public Administration","5-7 years",300
"Computing or Tech","5-7 years",797
"Computing or Tech","11 - 20 years",1621
"Engineering or Manufacturing","11 - 20 years",557
Retail,"8 - 10 years",95
"Marketing, Advertising & PR","8 - 10 years",251
Law,"8 - 10 years",224
"Property or Construction","41 years or more",2
Biotechnology,"2 - 4 years",4
"Health care","21 - 30 years",269
"Aerospace contracting","11 - 20 years",1
Insurance,"5-7 years",84
"Education (Primary/Secondary)","11 - 20 years",328
"Education (Higher Education)","21 - 30 years",312
"Education (Primary/Secondary)","21 - 30 years",110
"Art & Design","11 - 20 years",117
"Engineering or Manufacturing","8 - 10 years",275
"Business or Consulting","5-7 years",156
Sales,"8 - 10 years",50
Energy,"8 - 10 years",5
"Business or Consulting","31 - 40 years",22
"Environmental regulation","21 - 30 years",1
"Computing or Tech","31 - 40 years",119
"Media & Digital","8 - 10 years",151
"Education (Higher Education)","2 - 4 years",207
"Education (Primary/Secondary)","31 - 40 years",36
"Property or Construction","11 - 20 years",144
"Hospitality & Events","5-7 years",43
Sales,"21 - 30 years",40
"Transport or Logistics","11 - 20 years",105
"Marketing, Advertising & PR","5-7 years",266
Nonprofits,"21 - 30 years",254
"Government and Public Administration","21 - 30 years",271
"Medical Devices","31 - 40 years",1
Nonprofits,"31 - 40 years",48
"Academic research (Psychology)","2 - 4 years",1
"Social Work","21 - 30 years",23
Surveying,"11 - 20 years",2
"Recruitment or HR","11 - 20 years",146
PhD,"2 - 4 years",1
Biopharma,"21 - 30 years",1
Insurance,"31 - 40 years",26
Publishing,"11 - 20 years",13
"Government and Public Administration","2 - 4 years",168
"STEM research","11 - 20 years",1
Libraries,"2 - 4 years",5
"Health care","2 - 4 years",192
Architecture,"11 - 20 years",12
"Recruitment or HR","2 - 4 years",66
"Property or Construction","21 - 30 years",54
"Marketing, Advertising & PR","2 - 4 years",146
Retail,"11 - 20 years",162
"Academic Medicine","8 - 10 years",1
"Hospitality & Events","8 - 10 years",59
"Hospitality & Events","11 - 20 years",92
"Commercial Real Estate","11 - 20 years",3
Law,"31 - 40 years",43
"Pet care industry (dog training/walking)","5-7 years",1
Insurance,"11 - 20 years",176
"Health care","11 - 20 years",656
Politics,"8 - 10 years",1
"University administration","5-7 years",1
"Business or Consulting","1 year or less",34
"Animal Health Product Manufacturing","11 - 20 years",1
"Property or Construction","8 - 10 years",66
Sales,"11 - 20 years",107
"Educational Technology - hybrid between book publishing and technology really","8 - 10 years",1
Law,"5-7 years",224
"Property or Construction","5-7 years",62
"Health care","8 - 10 years",355
Law,"1 year or less",21
"Utilities & Telecommunications","21 - 30 years",56
Pharmaceuticals,"5-7 years",4
"Recruitment or HR","31 - 40 years",6
"Agriculture or Forestry","1 year or less",3
"Marketing, Advertising & PR","31 - 40 years",16
Philanthropy,"2 - 4 years",3
"Marketing, Advertising & PR","21 - 30 years",94
Insurance,"21 - 30 years",95
"Real Estate","31 - 40 years",1
"Transport or Logistics","21 - 30 years",49
"Transport or Logistics","8 - 10 years",63
Consulting,"21 - 30 years",1
"Environmental Consulting","21 - 30 years",1
"Archaeology / Cultural Resource Management","11 - 20 years",1
Museum,"5-7 years",4
"Media & Digital","21 - 30 years",105
"Public library","11 - 20 years",17
Biotech,"11 - 20 years",17
"Accounting, Banking & Finance","1 year or less",47
"Recruitment or HR","5-7 years",87
"Transport or Logistics","2 - 4 years",34
"Agriculture or Forestry","11 - 20 years",48
"Property or Construction","31 - 40 years",20
"Health care","41 years or more",11
"Public Library","8 - 10 years",8
"Social Work","11 - 20 years",82
"Transport or Logistics","5-7 years",37
"Engineering or Manufacturing","2 - 4 years",239
"Social Work","8 - 10 years",57
"Industry unknown","21 - 30 years",16
"Computing or Tech","1 year or less",83
"Accounting, Banking & Finance","31 - 40 years",71
"Media & Digital","5-7 years",156
"Business or Consulting","21 - 30 years",81
"Government Relations (Lobbying)","5-7 years",1
"Hospitality & Events","21 - 30 years",39
Politics,"11 - 20 years",1
"Software as a Service SaaS","11 - 20 years",1
"Public health in higher education","8 - 10 years",1
"Business Services","11 - 20 years",1
"Law Enforcement & Security","2 - 4 years",7
"Manufacturing and distributing","11 - 20 years",1
"Leisure, Sport & Tourism","21 - 30 years",26
"Government and Public Administration","31 - 40 years",81
