Country,Job_Title,Max_Salary
Afghanistan,"Country Director",30258
Africa,"Senior Engineer",24357600
Africa,"Design Lead",20596500
Africa,"Associate Professor",18805500
Africa,"Business Analyst",14417550
Africa,"COO/Senior Project Manager",14399640
Africa,"Output editor: TV news",12357900
Africa,"SEO Specialist",9725130
Africa,"Account Manager",7164000
Africa,"Data Analyst",4943160
Africa,"System administration and project manager",4298400
Africa,Editor,3868560
Africa,Sysadmin,3761100
Africa,Manager,537300
Africa,"Software Developer",288000
Africa,"Communications Specialist",90000
Africa,CTO,88560
Africa,"Senior associate geotechnical engineer",65000
Africa,"Actuarial analyst",30000
Argentina,"Deliverability Specialist",1500000
Argentina,"Exec admin",1080000
Argentina,Typist,845000
Argentina,"Programme Officer for Latin America and the Caribbean - Research and Advocacy",804000
Argentina,"Superior Auxiliar",780000
Argentina,"Audiovisual Translator",240000
Argentina,"Full stack developer",114000
Australia,"It security consultant",1540000
Australia,"Environmental Consultant",730000
Australia,"Consultant obstetrician and gynaecologist",616000
Australia,"deputy CEO",411950
Australia,"Medical Executive",400400
Australia,"Director - Product Management",400400
Australia,"software engineer",385000
Australia,Director,385000
Australia,"Internal Medicine Physician",385000
Australia,"Manager Centre of excellence",354200
Australia,"Senior Associate",331100
Australia,"Business Analyst",323400
Australia,"Project Lead Engineer",320320
Australia,"Strategic programs manager",308000
Australia,"Senior Engineer",308000
Australia,"Solution Architect",308000
Australia,"Senior Executive",307692
Australia,"General Manager",304920
Australia,"Senior software engineer and market analyst",295680
Australia,"Country Head of Market Access",292600
Australia,"Project Manager",292600
Australia,"Principal Consultant",286440
Australia,"Business Development Director",284900
Australia,Tam,277200
Australia,"Senior Compliance Manager",277200
Australia,"Faculty Manager",274120
Australia,"Software Engineering Manager",269500
Australia,"Engineering Manager",269500
Australia,"Financial Controller",264880
Australia,"Technical Underwriter",264880
Australia,"Systems Analyst",259028
Australia,Teacher,258720
Australia,"ESOL Teacher",257180
Australia,"Senior Developer",257180
Australia,"Senior Cost Recovery Officer",256256
Australia,"Program manager",249480
Australia,"Veterinary Specialist",246400
Australia,Manager,246400
Australia,"Digital lead",246400
Australia,"Private Instrumental Tutor",240240
Australia,"Associate Professor",239008
Australia,"Project Quality Manager",238700
Australia,"Lead Developer",238700
Australia,"Senior Manager",238700
Australia,"senior executive - deputy",234080
Australia,"Learning Leader",231000
Australia,"strategy director",231000
Australia,"Public servant",229460
Australia,"Software Test Lead",223300
Australia,"Lead Consultant",223300
Australia,"CRM Manager",223300
Australia,Geophysicist,218834
Australia,"senior support engineer",218680
Australia,"Senior manager digital transformation",215600
Australia,"museum executive",215600
Australia,"Senior Product Designer",215600
Australia,executive,215600
Australia,"Head of Digital",215600
Australia,"Architect, Quality Engineering",215600
Australia,Geologist,212520
Australia,"Software Team Lead",210980
Australia,"Actuarial Manager",209440
Australia,"Senior Software Developer",207900
Australia,"Customer Success Manager",207900
Australia,"Senior environmental advisor",207900
Australia,"Security Engineer",207900
Australia,"Doctor (Psychiatry registrar)",207592
Australia,"Director of Communications",206360
Australia,"Project engineer",204820
Australia,"Departmental Manager",203280
Australia,"Content manager",201740
Australia,"Associate Director",200200
Australia,"Technical operations Manager",200200
Australia,"Policy Specialist",200200
