City,Industry,Average_Salary
Boston,"Education (Higher Education)",75298.71
Cambridge,"Computing or Tech",118946.26185185184
Chattanooga,"Accounting, Banking & Finance",55500
Milwaukee,Nonprofits,59362.5
Greenville,"Accounting, Banking & Finance",72597.77777777778
Hanover,"Education (Higher Education)",78233.33333333333
Columbia,Publishing,33000
Yuma,"Education (Primary/Secondary)",60333.333333333336
"St. Louis","Computing or Tech",97490.29411764706
"Palm Coast","Accounting, Banking & Finance",45000
"Boston, MA",Nonprofits,61375
Scranton,"Education (Higher Education)",53000
Detroit,"Accounting, Banking & Finance",116247
"Saint Paul",Law,46949
Remote,"Health care",89159.27272727272
Lincoln,"Utilities & Telecommunications",17712
Chicago,"Business or Consulting",107945.1282051282
Pomona,"Art & Design",59000
Atlanta,"Business or Consulting",104069.4074074074
"Boca Raton","Education (Higher Education)",54000
Philadelphia,"Health care",102012.6129032258
Atlanta,Nonprofits,59950
Toronto,Nonprofits,87214.16242424241
Dayton,"Government and Public Administration",98504
Bradenton,"Public Library",44500
"Ann Arbor","Education (Higher Education)",66137.74193548386
"Washington DC",Nonprofits,88500.23214285714
"Silver Spring",Law,45840
Washington,"Government and Public Administration",117332.30232558139
"San Antonio","Engineering or Manufacturing",117400
Minneapolis,Nonprofits,61251.09375
"Washington, DC","Media & Digital",86280
"St. Louis","Accounting, Banking & Finance",100447.125
Richmond,"Accounting, Banking & Finance",77591.94736842105
Washington,Nonprofits,92468.77142857143
"Research Triangle","Education (Higher Education)",68000
Kalamazoo,"Media & Digital",41000
Manhattan,"Accounting, Banking & Finance",76000
Sacramento,"Government and Public Administration",99760.23809523809
Dallas,"Accounting, Banking & Finance",105695.4
waynesboro,"Engineering or Manufacturing",100000
Liverpool,"Marketing, Advertising & PR",23985
Richmond,"Government and Public Administration",69101.05882352941
Pittsburgh,"Computing or Tech",119513.63636363637
"Arlington, VA","Computing or Tech",125000
Boston,Nonprofits,77184.11458333333
Boston,"Computing or Tech",143690.8596491228
"Chapel Hill","Computing or Tech",140962.5
Vancouver,"Engineering or Manufacturing",121175.02857142859
Toronto,Retail,107814
Berkeley,"Education (Higher Education)",65460
"Apple Valley","Education (Primary/Secondary)",53000
Chicago,"Marketing, Advertising & PR",89850.61016949153
Troy,"Computing or Tech",91400
Toronto,"Media & Digital",102465.12
Boston,"Engineering or Manufacturing",109401.41025641025
DC,"Government and Public Administration",193474.625
Washington,"Business or Consulting",110284.09090909091
Linden,Law,33200
Bristol,"Government and Public Administration",32215.11375
Champaign,"Education (Higher Education)",50315.5
"Nova Scotia","Government and Public Administration",107440
Atlanta,"Property or Construction",62265.4
Ottawa,"Education (Primary/Secondary)",96593.66
Bryan,Biotechnology,52000
Providence,"Education (Higher Education)",69760.76923076923
"District of Columbia",Nonprofits,75485.71428571429
Bloomington,"Health care",72873.8
Minneapolis,"Computing or Tech",108914.64912280702
Denver,Nonprofits,63450.967741935485
"New York City","Government and Public Administration",91576.2
"Colorado Springs","Aerospace contracting",122000
Southampton,Insurance,56580
Columbia,"Engineering or Manufacturing",79398.75
"prefer not to answer","Computing or Tech",122200
"NYC (remotely)",Nonprofits,71000
Atlanta,"Education (Primary/Secondary)",55401
Raleigh,"Education (Higher Education)",63469.61538461538
"New York","Computing or Tech",155030.70344827586
-----,"Education (Higher Education)",65000
Edinburgh,"Education (Primary/Secondary)",32508.899999999998
"St. Paul",Nonprofits,54451.36363636364
Philadelphia,"Art & Design",78871.42857142857
"Philadelphia (suburbs)","Engineering or Manufacturing",105000
"Kitchener, Ontario",Nonprofits,81600
Philadelphia,"Education (Higher Education)",70484.94
Portland,Sales,71200
Ottawa,"Computing or Tech",143400.032
Washington,Energy,76000
Boston,"Business or Consulting",116947.36842105263
Nashville,"Accounting, Banking & Finance",93888.88888888889
"Newcastle, UK","Government and Public Administration",14243.4
Seattle,"Business or Consulting",183478.26086956522
Indianapolis,"Computing or Tech",81770.64
Nashville,"Education (Primary/Secondary)",57797.6
Baltimore,"Environmental regulation",58
Solon,"Computing or Tech",87000
Montreal,"Media & Digital",69360
Gainesville,"Education (Higher Education)",49667
Troy,"Government and Public Administration",42879.333333333336
Lafayette,"Education (Primary/Secondary)",46234
"New York","Property or Construction",146600
Phoenix,"Health care",79700.6875
Boulder,"Engineering or Manufacturing",109920.33333333333
"New York City","Hospitality & Events",79333.33333333333
Minneapolis,"Education (Higher Education)",71482.37142857142
Austin,"Computing or Tech",120183.3781512605
Halifax,"Government and Public Administration",92091.42857142857
Detroit,"Education (Higher Education)",129657.14285714286
Portsmouth,Sales,61000
"New York","Accounting, Banking & Finance",130038.84848484848
Nottingham,"Computing or Tech",37029.15
"Prefer not to answer","Education (Higher Education)",68168.25
Glasgow,"Accounting, Banking & Finance",27132.201
"The hague","Transport or Logistics",52440
"New York City","Education (Higher Education)",84013.24242424243
Calgary,"Accounting, Banking & Finance",142994.2857142857
"Kansas City","Marketing, Advertising & PR",50222.57142857143
Chicago,"Accounting, Banking & Finance",113513.60655737705
Scranton,"Media & Digital",42000
Dubuque,Nonprofits,54000
"London, ON CAN","Education (Higher Education)",125120
Cardiff,"Government and Public Administration",26639.954999999998
"San Diego","Medical Devices",60000
Belmont,"Academic research (Psychology)",36883
"New York City","Media & Digital",90925.83606557376
Cambridge,"Education (Higher Education)",73155.3320754717
Philadelphia,"Computing or Tech",111673.61111111111
Indianapolis,"Education (Higher Education)",70046.86666666667
Whippany,"Government and Public Administration",59015
"New York City","Business or Consulting",112500
Jefferson,"Social Work",53000
Manassas,"public library",63000
"Detroit Metro area","Engineering or Manufacturing",95000
Perth,Surveying,130900
"Newtown Square",Nonprofits,35000
"Small city, remote, national company","Hospitality & Events",33280
Memphis,"Accounting, Banking & Finance",58750
Chicago,"Education (Higher Education)",76702.2602739726
Dallas,"Education (Higher Education)",69059.66666666667
"Grand Rapids",Law,74000
DC,Nonprofits,91740.67857142857
London,"Recruitment or HR",33106.557
Unknown,"Education (Higher Education)",70588.13333333333
"New York",Nonprofits,86108.03053435114
Cambridge,PhD,14022
Omaha,"Education (Higher Education)",66647.88888888889
Cambridge,Biopharma,121000
Denver,Insurance,77600
London,Nonprofits,32142.388941176472
Gainesville,"Health care",117175
Oxford,Publishing,19926
"Washington DC","Government and Public Administration",117069.4
"San Antonio","STEM research",135000
McLean,"Computing or Tech",107290.25
Ardmore,Libraries,26000
Columbus,"Accounting, Banking & Finance",74141.66666666667
"Shaker Hts",Nonprofits,37000
Charleston,"Engineering or Manufacturing",70000
Austin,"Media & Digital",63452
helsinki,"Health care",30.59
Madison,"Engineering or Manufacturing",72974.125
Mishawaka,"Marketing, Advertising & PR",35000
Tulsa,"Accounting, Banking & Finance",66000
Tampa,"Engineering or Manufacturing",109916.66666666667
Philadelphia,Nonprofits,62709.023255813954
Denver,"Computing or Tech",126275.13414634146
Lambertville,Architecture,58000
Chatham,"Marketing, Advertising & PR",400000
Skokie,Nonprofits,61200
London,"Marketing, Advertising & PR",39059.674999999996
Alpharetta,"Recruitment or HR",66000
"Northeast Florida","Property or Construction",75500
Richmond,"Marketing, Advertising & PR",55875
"New York City","Marketing, Advertising & PR",112407.125
"Altamonte Springs",Retail,31200
Brighton,"Health care",22735.934999999998
Chicago,"Academic Medicine",55000
"San Francisco",Law,173705.88235294117
Chicago,Retail,79877.71428571429
Portland,"Computing or Tech",125274.80916030535
"El Paso","Education (Higher Education)",53250
"Research Triangle region","Education (Higher Education)",52500
Lyon,"Media & Digital",26220
Seattle,"Engineering or Manufacturing",113610
"San Diego","Computing or Tech",115079
"Washington, DC",Nonprofits,87481.4623655914
Indianapolis,"Hospitality & Events",66950
Merced,"Government and Public Administration",92500
Aberdeen,"Engineering or Manufacturing",41082
Pittsburgh,Nonprofits,57650.52631578947
Birmingham,"Education (Higher Education)",41993.28323076923
Omaha,"Engineering or Manufacturing",90333.33333333333
Gorham/Portland,"Education (Higher Education)",34299
London,"Computing or Tech",66921.61420155039
Westchester/NYC,"Education (Higher Education)",50000
"San Jose",Retail,87000
"Washington, DC",Law,159640
Dallas,"Commercial Real Estate",55000
Minneapolis,Law,97068.85
Boston,"Pet care industry (dog training/walking)",48500
Grandville,Law,54080
"New York",Insurance,196500
"Remote Worker","Marketing, Advertising & PR",81600
Houston,"Education (Primary/Secondary)",54488.78571428572
"Eau Claire","Health care",82160
buffalo,"Recruitment or HR",79250
"West Lafayette","Engineering or Manufacturing",74350
"Washington, DC",Politics,77500
Glasgow,"University administration",18610.146
"Too identifiable","Government and Public Administration",44308
"New York","Government and Public Administration",104427.83333333333
Braintree,"Business or Consulting",62000
Clinton,"Animal Health Product Manufacturing",75000
"New York","Education (Primary/Secondary)",79834.1
Raleigh,"Computing or Tech",102949.53846153847
Columbia,"Property or Construction",45750
Woburn,"Health care",76000
Boston,"Health care",98800.03896103895
Anaheim,"Accounting, Banking & Finance",45760
Orlando,"Marketing, Advertising & PR",49500
Calgary,"Engineering or Manufacturing",114188.31999999999
Appleton,"Education (Higher Education)",46500
London,Sales,31632.525
Bloomington,"Educational Technology - hybrid between book publishing and technology really",67000
Chattanooga,Law,124000
Jacksonville,"Property or Construction",43146.666666666664
Seattle,"Computing or Tech",159084.232
Memphis,"Health care",47600
Boston,Law,131281.33333333334
Pittsburgh,"Utilities & Telecommunications",94940
Durham,Pharmaceuticals,125000
Stamford,"Education (Primary/Secondary)",94000
"Rural Ontario","Health care",141440
Newport,"Government and Public Administration",68666.66666666667
"Los Angeles",Nonprofits,76534.75609756098
"New Brunswick","Education (Higher Education)",59500
"Chicago area mostly, but also the US and Canada","Recruitment or HR",135000
Spokane,"Education (Higher Education)",53691.666666666664
Durham,Nonprofits,60285.8
Philadelphia,"Marketing, Advertising & PR",83136.36363636363
"Greater Boston area","Government and Public Administration",75000
"Chicago (remote)","Computing or Tech",110000
"Rapid City","Agriculture or Forestry",29000
"Mount Prospect","Marketing, Advertising & PR",61000
"Huntington (remote, HQ is in Charleston)",Nonprofits,47250
"St. Paul","Engineering or Manufacturing",88720.8
Düsseldorf,"Computing or Tech",83584.99
Scranton,Nonprofits,45000
Washington,Philanthropy,72000
"Washington, DC","Government and Public Administration",99495.72222222222
"New York City","Accounting, Banking & Finance",122609.64516129032
Remote,"Computing or Tech",125458.82352941176
Minneapolis,"Marketing, Advertising & PR",85980
Charlotte,"Accounting, Banking & Finance",91153.33333333333
Flagstaff,"Education (Higher Education)",61333.333333333336
Philadelphia,"Engineering or Manufacturing",96012.4
Carlinville,"Education (Higher Education)",45000
Chaska,"Engineering or Manufacturing",117000
"Omaha, NE",Insurance,48500
Sacramento,"Real Estate",90000
"Western Mass","Education (Higher Education)",120000
"New York","Education (Higher Education)",91231.42857142857
Calgary,"Property or Construction",77180
"New York","Transport or Logistics",111356.25
Joliet,"Transport or Logistics",68000
"Shingle Springs","Engineering or Manufacturing",47840
"Plant City",Consulting,150000
Atlanta,"Environmental Consulting",105000
NYC,"Accounting, Banking & Finance",133166.66666666666
Lisle,"Engineering or Manufacturing",97500
Salem,"Health care",119333.33333333333
Platteville,"Government and Public Administration",63000
"Remote (live in Nottingham)",Sales,36900
Denver,"Archaeology / Cultural Resource Management",79000
Suitland,Museum,52000
Suitland,"Government and Public Administration",111771.75
London,"Education (Higher Education)",39565.48022222222
Atlanta,"Media & Digital",81428.57142857143
"New York","Public library",56243.666666666664
Rockville,Biotech,102366.66666666667
Winnipeg,"Education (Higher Education)",96288
Toronto,"Government and Public Administration",114011.435
Indianapolis,"Accounting, Banking & Finance",75221.8
Boston,"Government and Public Administration",86125.48
Boston,"Recruitment or HR",80873.80952380953
Dublin,"Transport or Logistics",42763.072
"North East","Agriculture or Forestry",17000
Baltimore,"Government and Public Administration",78972.94444444444
"Houston Area","Property or Construction",66000
Pittsburgh,"Engineering or Manufacturing",96702.14285714286
NYC,"Government and Public Administration",82600
Milwaukee,"Health care",88680.22222222222
Charlottesville,"Accounting, Banking & Finance",82080
"Idaho Falls","Recruitment or HR",79410
Washington,"Education (Higher Education)",74364.28571428571
ROCHESTER,Nonprofits,159157.14285714287
"Metro Boston","Computing or Tech",156000
"Twin cities metro area","Computing or Tech",96000
Washington,"Public Library",75000
Dallas,"Computing or Tech",113051.4705882353
Duluth,"Education (Higher Education)",38480
"South Hadley",Nonprofits,36000
"DFW area","Government and Public Administration",49600
Houston,"Accounting, Banking & Finance",89536.11111111111
Chicago,"Social Work",50400
Sacramento,Nonprofits,80222.22222222222
"North Andover","Health care",43680
Dallas,"Transport or Logistics",104000
Bellevue,Nonprofits,63428
Glasgow,"Engineering or Manufacturing",28191.6
Ottawa,"Government and Public Administration",130012.51932203391
Suwanee,"Education (Primary/Secondary)",75000
Glasgow,Nonprofits,28597.5
Raleigh,"Agriculture or Forestry",81500
"St. Louis","Property or Construction",80166.66666666667
Salem,"Media & Digital",50500
Dayton,"Public Library",39000
Fairfield,"Education (Higher Education)",99000
Orlando,"Property or Construction",81090
"New York city","Computing or Tech",153806.77064220182
Manchester,"Marketing, Advertising & PR",35096.333333333336
"New York","Media & Digital",108818.8953488372
Madison,"Computing or Tech",120121.67272727273
Pittsburgh,"Health care",92258.54166666667
DFW,"Engineering or Manufacturing",92000
Wilmington,"Industry unknown",72479.33333333333
Toronto,"Computing or Tech",140536.78105263156
"Cherry Hill","Accounting, Banking & Finance",130500
Montreal,Sales,66640
Cleveland,"Accounting, Banking & Finance",76301.15384615384
"Fully Remote (Greater Boston)","Accounting, Banking & Finance",155000
"Grand Rapids","Art & Design",55000
Milwaukee,"Engineering or Manufacturing",92983.33333333333
"St. Paul","Business or Consulting",80400
"New York City","Government Relations (Lobbying)",65000
"East Hanover",Nonprofits,42120
"District of Columbia","Business or Consulting",62500
"New Orleans","Computing or Tech",82643.33333333333
"Citrus Heights","Government and Public Administration",52000
"Jefferson City","Computing or Tech",87500
Portland,"Business or Consulting",103850
Naples,"Hospitality & Events",98500
"San Diego","Health care",85868.94117647059
Melbourne,"Computing or Tech",181489.05263157896
DC,Politics,72333.33333333333
Medina,"Health care",60000
"Prefer not to say (Montana is small!)","Government and Public Administration",52000
"El Paso","Government and Public Administration",57000
Lexington,"Accounting, Banking & Finance",36820
"La Crosse","Accounting, Banking & Finance",54000
Springfield,"Education (Higher Education)",60400
Milwaukee,"Education (Higher Education)",57145.166666666664
Canton,"Accounting, Banking & Finance",54333.333333333336
Toronto,Law,113714.25882352941
