Job_Title,Years_of_Professional_Experience_Overall,Total_Compensation
"Research and Instruction Librarian","5-7 years",55000
"Change & Internal Communications Manager","8 - 10 years",58600
"Marketing Specialist","2 - 4 years",180500
"Program Manager","8 - 10 years",4933894
"Accounting Manager","8 - 10 years",900550
"Scholarly Publishing Librarian","8 - 10 years",62000
"Publishing Assistant","2 - 4 years",35000
Librarian,"5-7 years",2266700
"Systems Analyst","21 - 30 years",664200
"Senior Accountant","21 - 30 years",281200
"Office Manager","5-7 years",786045
"Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity","11 - 20 years",62000
"Manager of Information Services","11 - 20 years",100000
"Legal Aid Staff Attorney","2 - 4 years",52000
"Patient care coordinator","1 year or less",32000
"Quality And Compliance Specialist","11 - 20 years",24500
"Executive Assistant","8 - 10 years",2237623
"graphic designer","21 - 30 years",185000
"Senior Manager","11 - 20 years",5493700
"Assistant Director of Academic Advising","11 - 20 years",114000
"Data Programmer Analyst","5-7 years",74000
"Program Coordinator & Assistant Editor","5-7 years",50000
"Event Planner","11 - 20 years",63000
Researcher,"8 - 10 years",360000
"Teen Librarian","5-7 years",112500
"Communications Specialist","11 - 20 years",675300
"Program Director","5-7 years",397050
"Bookkeeper/Billing Manager","11 - 20 years",52000
Economist,"11 - 20 years",540395
"Research Engineer","5-7 years",583000
"Volunteer and Giving Coordinator","2 - 4 years",39000
Editor,"11 - 20 years",3315292
"Financial Advisor","11 - 20 years",585000
"Accounting Manager","21 - 30 years",789000
"Administrative and HR Manager","5-7 years",50000
"Senior IRB Analyst","5-7 years",68000
Reporter,"2 - 4 years",260100
"Senior Administrator","5-7 years",86000
"Staff Services Manager II","8 - 10 years",78000
Receptionist,"2 - 4 years",203060
"Lead Engineer","21 - 30 years",575000
"Senior Copywriter","11 - 20 years",345500
"Manager of Data Integrity and Prospect Research","5-7 years",65000
"Principal Software Engineer","8 - 10 years",1118400
"Intelligence Analyst","8 - 10 years",244000
"Project Manager","8 - 10 years",14969802
"Mobile developer","5-7 years",147100
"Product Design Director","11 - 20 years",240850
"Engineering specialist","11 - 20 years",121500
"Manager, Total Rewards","8 - 10 years",107500
"Research and Development Engineer 3","5-7 years",96000
"Science Teacher (Public High School)","5-7 years",54000
"Senior Manager, Programmatic","8 - 10 years",105000
"Managed Services Sales Coordinator","11 - 20 years",75000
"Water Resources Engineer","21 - 30 years",106000
"Program Officer","5-7 years",243500
"Account Supervisor","11 - 20 years",268800
"Legal Secretary","8 - 10 years",181600
